country,date,continent,all_locations
INDIA,3/14/2012,Asia,Total
CANADA,3/20/2012,North America,Total
PANAMA,1/3/2012,North America,Total
CHINA,3/21/2012,Asia,Total
FRANCE,3/28/2012,Europe,Total
INDIA,2/2/2012,Asia,Total
INDIA,3/22/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
VENEZUELA,3/21/2012,South America,Total
INDIA,3/27/2012,Asia,Total
ISRAEL,3/20/2012,Asia,Total
INDONESIA,3/27/2012,Asia,Total
SOUTH KOREA,3/22/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/27/2012,Asia,Total
CANADA,3/28/2012,North America,Total
BELARUS,3/22/2012,Europe,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/22/2012,Asia,Total
INDONESIA,3/23/2012,Asia,Total
INDIA,3/22/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
PERU,3/29/2012,South America,Total
INDIA,3/20/2012,Asia,Total
CANADA,3/28/2012,North America,Total
INDIA,3/27/2012,Asia,Total
CANADA,3/21/2012,North America,Total
INDIA,3/27/2012,Asia,Total
INDIA,3/26/2012,Asia,Total
CHINA,12/15/2011,Asia,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/29/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
BULGARIA,3/20/2012,Europe,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
IRAN,3/28/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/22/2012,Asia,Total
ARGENTINA,3/20/2012,South America,Total
ECUADOR,12/15/2011,South America,Total
CANADA,3/26/2012,North America,Total
INDIA,3/14/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
INDIA,12/20/2011,Asia,Total
INDIA,3/21/2012,Asia,Total
INDIA,2/16/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
CANADA,3/21/2012,North America,Total
INDIA,3/21/2012,Asia,Total
SOUTH AFRICA,2/3/2012,Africa,Total
INDIA,3/20/2012,Asia,Total
INDIA,3/22/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
INDIA,12/16/2011,Asia,Total
INDIA,3/29/2012,Asia,Total
CANADA,3/19/2012,North America,Total
CANADA,3/20/2012,North America,Total
ECUADOR,12/15/2011,South America,Total
INDIA,3/16/2012,Asia,Total
ECUADOR,12/15/2011,South America,Total
GERMANY,3/20/2012,Europe,Total
INDIA,3/20/2012,Asia,Total
CHINA,3/23/2012,Asia,Total
SOUTH KOREA,3/21/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
INDIA,3/26/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
ISRAEL,3/20/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
CHINA,3/27/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
PHILIPPINES,3/21/2012,Asia,Total
UZBEKISTAN,3/20/2012,Asia,Total
GREECE,3/26/2012,Europe,Total
UNITED STATES OF AMERICA,3/20/2012,North America,Total
INDIA,3/20/2012,Asia,Total
INDIA,1/14/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
COLOMBIA,12/22/2011,South America,Total
INDIA,3/27/2012,Asia,Total
INDIA,3/30/2012,Asia,Total
CANADA,3/22/2012,North America,Total
INDIA,1/12/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
NEPAL,3/22/2012,Asia,Total
SPAIN,3/28/2012,Europe,Total
TAIWAN,3/23/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
COSTA RICA,3/21/2012,North America,Total
EL SALVADOR,3/20/2012,North America,Total
INDIA,3/21/2012,Asia,Total
RUSSIA,3/28/2012,Europe,Total
GHANA,3/21/2012,Africa,Total
CANADA,3/22/2012,North America,Total
INDIA,3/21/2012,Asia,Total
INDIA,12/16/2011,Asia,Total
CANADA,3/23/2012,North America,Total
INDIA,3/26/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/22/2012,Asia,Total
INDIA,12/19/2011,Asia,Total
INDIA,3/20/2012,Asia,Total
CANADA,3/20/2012,North America,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/27/2012,Asia,Total
INDIA,3/14/2012,Asia,Total
CANADA,3/23/2012,North America,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
ARGENTINA,3/28/2012,South America,Total
INDIA,1/27/2012,Asia,Total
INDIA,3/26/2012,Asia,Total
INDIA,3/26/2012,Asia,Total
CANADA,3/23/2012,North America,Total
INDIA,3/26/2012,Asia,Total
CANADA,3/27/2012,North America,Total
INDIA,3/26/2012,Asia,Total
INDIA,3/8/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/22/2012,Asia,Total
PERU,3/29/2012,South America,Total
AUSTRALIA,3/26/2012,Australia,Total
MEXICO,3/23/2012,North America,Total
UNITED KINGDOM,3/21/2012,Europe,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/27/2012,Asia,Total
INDIA,3/28/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
CHINA,3/21/2012,Asia,Total
INDIA,3/29/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
SOUTH KOREA,1/30/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
SOUTH KOREA,3/20/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
MEXICO,1/3/2012,North America,Total
CHINA,3/27/2012,Asia,Total
INDIA,3/22/2012,Asia,Total
INDIA,3/22/2012,Asia,Total
INDIA,3/22/2012,Asia,Total
INDIA,3/27/2012,Asia,Total
INDIA,3/30/2012,Asia,Total
PHILIPPINES,3/27/2012,Asia,Total
ISRAEL,3/30/2012,Asia,Total
CHINA,3/21/2012,Asia,Total
INDIA,3/27/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
CHINA,3/22/2012,Asia,Total
MEXICO,3/22/2012,North America,Total
INDIA,12/19/2011,Asia,Total
INDIA,3/26/2012,Asia,Total
JORDAN,12/18/2011,Asia,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/22/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
INDIA,3/26/2012,Asia,Total
MEXICO,3/28/2012,North America,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/29/2012,Asia,Total
INDIA,12/30/2011,Asia,Total
PAKISTAN,3/20/2012,Asia,Total
INDIA,12/21/2011,Asia,Total
INDIA,3/22/2012,Asia,Total
INDIA,1/3/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
RUSSIA,3/21/2012,Europe,Total
INDIA,3/26/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/27/2012,Asia,Total
INDIA,3/29/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
INDIA,2/16/2012,Asia,Total
INDIA,12/19/2011,Asia,Total
IRELAND,3/28/2012,Europe,Total
SOUTH KOREA,3/26/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
PHILIPPINES,3/23/2012,Asia,Total
SOUTH KOREA,3/21/2012,Asia,Total
INDIA,3/27/2012,Asia,Total
INDIA,3/22/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
PHILIPPINES,3/28/2012,Asia,Total
CHINA,2/2/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
INDIA,12/22/2011,Asia,Total
INDIA,3/27/2012,Asia,Total
ITALY,3/28/2012,Europe,Total
INDIA,3/22/2012,Asia,Total
CANADA,3/21/2012,North America,Total
CANADA,3/20/2012,North America,Total
MONGOLIA,3/26/2012,Asia,Total
ROMANIA,3/28/2012,Europe,Total
ARGENTINA,3/20/2012,South America,Total
INDIA,3/20/2012,Asia,Total
INDIA,3/27/2012,Asia,Total
TAIWAN,3/20/2012,Asia,Total
INDIA,1/30/2012,Asia,Total
MEXICO,3/27/2012,North America,Total
INDIA,3/20/2012,Asia,Total
HONG KONG,3/14/2012,Asia,Total
FRANCE,3/27/2012,Europe,Total
INDIA,3/29/2012,Asia,Total
SPAIN,3/22/2012,Europe,Total
INDIA,3/22/2012,Asia,Total
JAPAN,3/20/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
CHINA,3/28/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
CANADA,3/20/2012,North America,Total
CHINA,1/10/2012,Asia,Total
INDIA,3/14/2012,Asia,Total
UKRAINE,3/26/2012,Europe,Total
SPAIN,3/26/2012,Europe,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/29/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
INDIA,3/27/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/22/2012,Asia,Total
TAIWAN,3/28/2012,Asia,Total
SINGAPORE,3/21/2012,Asia,Total
NETHERLANDS,3/22/2012,Europe,Total
INDIA,3/21/2012,Asia,Total
ISRAEL,3/22/2012,Asia,Total
CANADA,3/20/2012,North America,Total
INDIA,3/28/2012,Asia,Total
CHILE,3/21/2012,South America,Total
IRAN,3/29/2012,Asia,Total
PAKISTAN,12/22/2011,Asia,Total
INDIA,3/23/2012,Asia,Total
CHINA,3/21/2012,Asia,Total
GERMANY,3/23/2012,Europe,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
INDIA,12/22/2011,Asia,Total
INDIA,3/20/2012,Asia,Total
INDIA,3/12/2012,Asia,Total
RUSSIA,1/18/2012,Europe,Total
INDIA,3/20/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
INDIA,1/10/2012,Asia,Total
INDIA,12/21/2011,Asia,Total
INDIA,3/23/2012,Asia,Total
PHILIPPINES,3/23/2012,Asia,Total
SOUTH KOREA,3/28/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
LEBANON,3/27/2012,Asia,Total
AUSTRIA,3/28/2012,Europe,Total
INDIA,12/21/2011,Asia,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
SWEDEN,3/29/2012,Europe,Total
RUSSIA,1/24/2012,Europe,Total
INDIA,3/26/2012,Asia,Total
INDIA,3/28/2012,Asia,Total
TAIWAN,3/21/2012,Asia,Total
PHILIPPINES,3/26/2012,Asia,Total
SOUTH KOREA,3/27/2012,Asia,Total
LITHUANIA,3/21/2012,Europe,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
UKRAINE,3/21/2012,Europe,Total
PAKISTAN,3/20/2012,Asia,Total
SOUTH KOREA,3/20/2012,Asia,Total
ISRAEL,3/23/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/26/2012,Asia,Total
INDIA,3/26/2012,Asia,Total
RUSSIA,3/21/2012,Europe,Total
INDIA,3/20/2012,Asia,Total
PHILIPPINES,2/9/2012,Asia,Total
CHINA,1/5/2012,Asia,Total
INDIA,3/29/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
INDIA,3/26/2012,Asia,Total
CANADA,3/16/2012,North America,Total
INDIA,3/20/2012,Asia,Total
CHINA,1/23/2012,Asia,Total
INDIA,2/24/2012,Asia,Total
ISRAEL,3/27/2012,Asia,Total
JORDAN,1/12/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
INDIA,3/29/2012,Asia,Total
MALAYSIA,3/23/2012,Asia,Total
INDIA,3/30/2012,Asia,Total
SOUTH KOREA,3/21/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/16/2012,Asia,Total
INDIA,12/23/2011,Asia,Total
FRANCE,3/13/2012,Europe,Total
INDIA,3/21/2012,Asia,Total
CHINA,3/20/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
CHINA,3/21/2012,Asia,Total
GERMANY,3/20/2012,Europe,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/30/2012,Asia,Total
INDIA,3/27/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/27/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
INDIA,2/1/2012,Asia,Total
CHINA,1/18/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
BRAZIL,3/20/2012,South America,Total
NIGERIA,3/21/2012,Africa,Total
IRAN,12/27/2011,Asia,Total
INDIA,3/22/2012,Asia,Total
INDIA,3/29/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
CANADA,3/20/2012,North America,Total
INDIA,3/21/2012,Asia,Total
FRANCE,3/23/2012,Europe,Total
INDIA,3/20/2012,Asia,Total
CANADA,1/9/2012,North America,Total
INDIA,3/29/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
BANGLADESH,3/28/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/27/2012,Asia,Total
UNITED KINGDOM,3/21/2012,Europe,Total
INDIA,3/21/2012,Asia,Total
IRAN,2/20/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
INDIA,3/22/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/22/2012,Asia,Total
INDIA,3/14/2012,Asia,Total
INDIA,3/27/2012,Asia,Total
SWEDEN,3/28/2012,Europe,Total
SOUTH KOREA,3/20/2012,Asia,Total
INDIA,3/26/2012,Asia,Total
TAIWAN,3/27/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/30/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
CHINA,3/23/2012,Asia,Total
INDIA,3/30/2012,Asia,Total
INDIA,3/28/2012,Asia,Total
TAIWAN,3/20/2012,Asia,Total
CANADA,3/29/2012,North America,Total
SOUTH KOREA,1/13/2012,Asia,Total
INDIA,3/30/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/29/2012,Asia,Total
INDIA,3/28/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/28/2012,Asia,Total
INDIA,3/28/2012,Asia,Total
KENYA,3/23/2012,Africa,Total
INDIA,3/20/2012,Asia,Total
MEXICO,3/23/2012,North America,Total
INDIA,3/20/2012,Asia,Total
SOUTH KOREA,3/23/2012,Asia,Total
CANADA,2/2/2012,North America,Total
INDIA,3/21/2012,Asia,Total
CHILE,3/21/2012,South America,Total
SOUTH KOREA,3/23/2012,Asia,Total
INDIA,12/22/2011,Asia,Total
CANADA,3/23/2012,North America,Total
INDIA,3/20/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/30/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/22/2012,Asia,Total
CHINA,3/21/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
INDIA,2/16/2012,Asia,Total
INDIA,3/22/2012,Asia,Total
INDIA,3/29/2012,Asia,Total
TAIWAN,3/20/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
FRANCE,3/22/2012,Europe,Total
INDIA,2/24/2012,Asia,Total
SOUTH KOREA,3/21/2012,Asia,Total
INDIA,3/29/2012,Asia,Total
BANGLADESH,1/19/2012,Asia,Total
NEPAL,3/22/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
INDIA,1/13/2012,Asia,Total
INDIA,3/28/2012,Asia,Total
MEXICO,3/21/2012,North America,Total
INDIA,3/22/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/22/2012,Asia,Total
INDIA,3/22/2012,Asia,Total
TAIWAN,3/21/2012,Asia,Total
INDIA,1/9/2012,Asia,Total
INDIA,3/9/2012,Asia,Total
PHILIPPINES,1/4/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
UNITED KINGDOM,3/23/2012,Europe,Total
UNITED KINGDOM,3/28/2012,Europe,Total
INDIA,3/27/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
INDIA,1/10/2012,Asia,Total
PHILIPPINES,3/26/2012,Asia,Total
INDIA,1/23/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
ETHIOPIA,3/2/2012,Africa,Total
INDIA,3/22/2012,Asia,Total
INDIA,3/19/2012,Asia,Total
ROMANIA,3/20/2012,Europe,Total
PHILIPPINES,3/26/2012,Asia,Total
NEPAL,3/29/2012,Asia,Total
CHINA,3/23/2012,Asia,Total
CHINA,1/9/2012,Asia,Total
INDIA,3/15/2012,Asia,Total
SWITZERLAND,3/19/2012,Europe,Total
INDIA,3/27/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
MEXICO,3/20/2012,North America,Total
INDIA,3/27/2012,Asia,Total
CHINA,3/21/2012,Asia,Total
INDIA,3/22/2012,Asia,Total
INDIA,3/22/2012,Asia,Total
CHINA,3/27/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
EGYPT,3/23/2012,Africa,Total
JAPAN,2/1/2012,Asia,Total
CANADA,3/22/2012,North America,Total
IRAN,3/28/2012,Asia,Total
CANADA,3/21/2012,North America,Total
INDIA,3/27/2012,Asia,Total
PAKISTAN,3/27/2012,Asia,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/29/2012,Asia,Total
INDIA,3/26/2012,Asia,Total
PAKISTAN,3/20/2012,Asia,Total
NETHERLANDS,3/23/2012,Europe,Total
INDIA,3/20/2012,Asia,Total
INDIA,3/29/2012,Asia,Total
PAKISTAN,3/22/2012,Asia,Total
INDIA,1/31/2012,Asia,Total
INDIA,3/27/2012,Asia,Total
CHINA,1/10/2012,Asia,Total
INDIA,2/29/2012,Asia,Total
INDIA,3/22/2012,Asia,Total
INDIA,3/29/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/27/2012,Asia,Total
SOUTH KOREA,1/24/2012,Asia,Total
PHILIPPINES,3/29/2012,Asia,Total
SOUTH KOREA,3/28/2012,Asia,Total
INDIA,3/30/2012,Asia,Total
CANADA,3/21/2012,North America,Total
INDIA,3/22/2012,Asia,Total
NIGERIA,3/28/2012,Africa,Total
NEPAL,3/23/2012,Asia,Total
GERMANY,3/28/2012,Europe,Total
INDIA,3/29/2012,Asia,Total
CHINA,3/29/2012,Asia,Total
SLOVENIA,3/22/2012,Europe,Total
ECUADOR,1/10/2012,South America,Total
CANADA,3/27/2012,North America,Total
VENEZUELA,3/23/2012,South America,Total
MEXICO,3/27/2012,North America,Total
INDIA,3/20/2012,Asia,Total
INDIA,2/2/2012,Asia,Total
ITALY,3/27/2012,Europe,Total
PHILIPPINES,3/28/2012,Asia,Total
INDIA,3/27/2012,Asia,Total
MEXICO,1/10/2012,North America,Total
INDIA,3/23/2012,Asia,Total
CHINA,1/13/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
INDIA,3/30/2012,Asia,Total
MEXICO,1/13/2012,North America,Total
PAKISTAN,3/22/2012,Asia,Total
INDIA,3/29/2012,Asia,Total
CANADA,2/10/2012,North America,Total
SOUTH KOREA,3/22/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
NORWAY,3/26/2012,Europe,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/14/2012,Asia,Total
BRAZIL,3/29/2012,South America,Total
SOUTH KOREA,3/27/2012,Asia,Total
SOUTH KOREA,3/29/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
INDIA,3/28/2012,Asia,Total
INDIA,3/26/2012,Asia,Total
GUATEMALA,1/13/2012,North America,Total
MEXICO,3/30/2012,North America,Total
BRAZIL,3/27/2012,South America,Total
INDIA,3/22/2012,Asia,Total
INDIA,3/21/2012,Asia,Total
GUATEMALA,1/13/2012,North America,Total
INDIA,12/29/2011,Asia,Total
RUSSIA,3/22/2012,Europe,Total
GUATEMALA,1/13/2012,North America,Total
MEXICO,3/30/2012,North America,Total
MEXICO,3/28/2012,North America,Total
GUATEMALA,1/13/2012,North America,Total
CHINA,3/29/2012,Asia,Total
SOUTH KOREA,3/27/2012,Asia,Total
INDIA,3/22/2012,Asia,Total
VENEZUELA,3/27/2012,South America,Total
INDIA,3/21/2012,Asia,Total
VENEZUELA,3/27/2012,South America,Total
PHILIPPINES,3/27/2012,Asia,Total
INDIA,3/28/2012,Asia,Total
VIETNAM,3/26/2012,Asia,Total
CHINA,3/23/2012,Asia,Total
INDIA,3/20/2012,Asia,Total
PAKISTAN,3/26/2012,Asia,Total
CANADA,2/24/2012,North America,Total
INDIA,12/30/2011,Asia,Total
INDIA,3/23/2012,Asia,Total
INDIA,3/22/2012,Asia,Total
INDIA,3/28/2012,Asia,Total
GUATEMALA,1/13/2012,North America,Total
INDIA,3/30/2012,Asia,Total
INDIA,3/22/2012,Asia,Total
SINGAPORE,3/28/2012,Asia,Total
